CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Chicago,Federal Plaza,,IL,US,2020-09-05,,,,,,,"Freedom First International, Revolution Club Chicago","for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/1024818871284239/,,,Trump/Pence Out Now,,
Chicago,ABC7 Chicago,,IL,US,2020-09-05,count: FB,27,,27,,,general protesters,"against child sex trafficking, #SaveOurChildren",0,protest,,,,,0,1,https://www.facebook.com/events/750416592442678,,,,,
Clarksville,Johnson County Courthouse,,AR,US,2020-09-05,count: FB,109,,109,,,general protesters,"against racism, against police violence",1,rally,,,,,1,1,https://www.facebook.com/events/348528919479822/,,,,,
Cleveland,Market Square,,OH,US,2020-09-05,count: FB,30,,30,,,Refuse Fascism; Refuse Fascism Ohio,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/332592568101124/,,,Trump/Pence Out Now,,
Cleveland,Burke Lakefront Airport,,OH,US,2020-09-05,,,,,,,general protesters,for President Trump,2,boat parade,,,,,0,1,https://www.clevescene.com/scene-and-heard/archives/2020/09/05/a-trump-boat-parade-brings-hundreds-of-maga-supporters-to-lake-erie-today,,,Trump Day Northeast Ohio Boat Parade,,
Colorado Springs,30 S Nevada Ave,,CO,US,2020-09-05,count video,12,,12,,,Colorado Springs CounterPropoganda,"against racism, against police violence",1,protest; march,,,,,1,1,https://www.fox21news.com/top-stories/protest-against-police-violence-and-systemic-racism-taking-place-in-colorado-springs/,https://www.facebook.com/events/1190300601369374,,,,
Dallas,Victory Park,,TX,US,2020-09-05,count: FB,26,,26,,,Libertarian Party of Dallas County; Give Hale for Congress 2020; #LetHerSpeak2,for libertarianism,0,protest; car caravan,,,,,1,1,https://www.facebook.com/events/1148502248868219/,,,,,
Dallas,Southern Methodist University,,TX,US,2020-09-05,hundreds,200,,200,,,The Association of Black Students,"against racism, against police violence",1,march,,,,,0,1,https://www.dallasnews.com/news/2020/09/05/hundreds-gather-at-smu-march-through-highland-park-to-protest-brutality-inequities-faced-by-blacks/,,,,,
Dallas,City Hall,,CA,US,2020-09-05,dozens,24,,24,,,Not My Son,anitracism; against police brutality,1,protest,0,0,0,0,0,1,https://www.nbcdfw.com/news/local/protesters-rally-in-dallas-100-days-after-floyds-death-hope-to-reignite-calls-for-change/2439178/,,,,,
Dallas,Highland Park Village Center,,TX,US,2020-09-05,smaller group,,,,,,In Solidarity; People Against the System,"against racism, against police violence",1,march,,,,,0,1,https://www.dallasnews.com/news/2020/09/05/hundreds-gather-at-smu-march-through-highland-park-to-protest-brutality-inequities-faced-by-blacks/,,,,,
Denver,Larimer Square; Union Station,,CO,US,2020-09-05,about 75,75,,75,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.cpr.org/2020/09/12/armored-groups-are-playing-late-night-cat-and-mouse-at-downtown-denver-protests/,,,,,
Detroit,Federal Building,,MI,US,2020-09-05,,,,,,,Refuse Fascism; Refuse Fascism - Detroit Area,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/313515009840091/,,,Trump/Pence Out Now,,
Detroit,Hockeytown Cafe,,MI,US,2020-09-05,count: FB,35,,35,,,general protesters,"against pedophelia, against child sex trafficking",0,march,,,,,0,1,https://www.facebook.com/events/770536407035004/,,,#SaveOurChildren,,
Detroit,Campus Martius Park,,MI,US,2020-09-05,roughly 300; at least 500,300,,500,,,Detroit Will Breathe,"against racism, against police violence",1,march,,,,1,0,1,https://www.freep.com/story/news/local/michigan/detroit/2020/09/06/macomb-monument-defaced-black-lives-matter-protests/5733855002/,https://www.freep.com/story/news/local/michigan/detroit/2020/09/05/detroit-protests-100-days-end-police-brutality/5730882002/,https://www.clickondetroit.com/news/local/2020/09/06/demonstrators-celebrate-federal-judges-ruling-on-100th-day-of-protesting-in-detroit/,Article notes that group has protested for 100 consecutive days in Detroit.,,
Exeter,Swasey Park,,NH,US,2020-09-05,count: FB,152,,152,,,Black Lives Matter Seacoast,"against racism, against police violence",1,rally,,,,,1,1,https://www.facebook.com/events/2731310377139251/,,,,,
Gettysburg,15 Lincoln Sq,,PA,US,2020-09-05,count: FB,27,,27,,,Save Our Peoples,"against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/3220790301302958/,,,,,
Groton,Poquonnock Plains Park,,CT,US,2020-09-05,count: FB,29,,29,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.facebook.com/events/693570334838722/,,,,,
Honolulu,Gateway Park,,HI,US,2020-09-05,count: FB,5,,5,,,Refuse Fascism; Refuse Fascism Honolulu,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/3331864333569871/,,,Trump/Pence Out Now,,
Houston,Houston City Hall,,TX,US,2020-09-05,,,,,,,Refuse Fascism; Refuse Fascism Texas,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/748210905740795/,,,Trump/Pence Out Now,,
Kansas City,47th St and Main St,,MO,US,2020-09-05,,,,,,,Refuse Fascism,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://twitter.com/RefuseFascismLA/status/1298803481000771585/photo/1,,,Trump/Pence Out Now,,
Lake Havasu City,Lake Havasu,,AZ,US,2020-09-05,thousands,2000,,2000,,,general protesters,for President Trump,2,boat parade,,,,,1,1,https://twitter.com/alexvnews/status/1302310238834491392,,,,,
Lansing,Michigan State Capitol,,MI,US,2020-09-05,count: FB,124,,124,,,general protesters,"against closures of schools and businesses due to COVID-19, against tyranny, for freedom",2,protest,,,,,1,1,https://www.facebook.com/events/1731581750332689/,,,,,
Libby,Moody's,,MT,US,2020-09-05,around 20,20,,20,,,general protesters,"against child sex trafficking, #SaveOurChildren",0,rally,,,,,1,1,https://thewesternnews.com/news/2020/sep/08/child-trafficking-awareness-rally-draws-small-crow/,,,,,
Lodi,American Legion Park,,CA,US,2020-09-05,,,,,,,Progressive Unity; Black Lives Matter Stockton 2.0; Sacramento Street EMS; EMPACT; SAC Social Justice Events,defund the police,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CEFu12sB4Pk/,https://www.lodinews.com/news/article_005aa1de-f192-11ea-8861-af4f5918c9fc.html,https://www.sacbee.com/news/local/article245524505.html,,,
Lodi,American Legion Park,,CA,US,2020-09-05,,,,,,,general protesters,pro police; pro Trump,2,counterprotest,0,0,0,0,0,1,https://www.lodinews.com/news/article_005aa1de-f192-11ea-8861-af4f5918c9fc.html,,https://www.sacbee.com/news/local/article245524505.html,,,
Los Angeles,Hollywood & Highland,,CA,US,2020-09-05,count: FB,42,,42,,,Occupy Orange County; The Revcoms,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/3488835581168091/,,,Trump/Pence Out Now,,
Los Angeles,"LA County Sheriff's Station, 1310 W Imperial Hwy",,CA,US,2020-09-05,,,,,,,general protesters,"against racism, against police violence",1,protest,,,,,0,1,https://www.washingtonpost.com/nation/2020/09/05/tension-rises-louisville-right-wing-left-wing-groups-clash-racial-justice-demonstrations/,https://www.dailynews.com/2020/09/09/deputies-arrest-17-and-recover-knives-poles-fireworks-at-dijon-kizzee-protest/,,Protesting death of Dijon Kizzee,,
Louisville,Jefferson Square Park,,KY,US,2020-09-05,thousands,2000,,2000,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://www.nbcnews.com/news/us-news/kentucky-derby-protesters-counterprotesters-confront-each-other-ahead-race-n1239421,https://www.washingtonpost.com/national/no-justice-no-derby-is-the-latest-cry-in-a-louisville-grappling-with-racial-tensions/2020/09/02/2a266508-ecd7-11ea-b4bc-3a2098fc73d4_story.html,https://www.washingtonpost.com/nation/2020/09/05/tension-rises-louisville-right-wing-left-wing-groups-clash-racial-justice-demonstrations/,Planned protests against Kentucky Derby,,
Louisville,Jefferson Square Park,,KY,US,2020-09-05,400 or so,400,,400,,,National Patriotic Defense Team; Angry Vikings,"against Black Lives Matter, for police",2,counter-protest; march,,,,,0,1,https://twitter.com/FordFischer/status/1302215233705050113,,,Heavily armed and body-armored militias rallied separately and the converged on area where BLM protests were expected to happen.,,
Louisville,,,KY,US,2020-09-05,count video,50,,100,,,Not Fucking Around Coalition,"against racism, against police violence",1,protest,,,,,0,1,https://twitter.com/FordFischer/status/1302337902903402496,https://www.nbcnews.com/news/us-news/kentucky-derby-protesters-counterprotesters-confront-each-other-ahead-race-n1239421,,Heavily armed Black militia.,,
