CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Greenville,County courthouse,Hunt,TX,US,2020-06-20,,,,,,,Texas Liberty Defenders,Republican candidates,0,planned rally,0,0,0,0,1,1,https://www.heraldbanner.com/news/local_news/political-rally-planned-at-courthouse/article_6a143f08-acfb-11ea-af26-d7471a315997.html,,,,,,,,,,,,,,,,,,,,,,
Houston ,in front of City Hall to Emancipation Park,Harris,TX,US,2020-06-20,,,,,,,Familias Inmigrantes y Estudiantes en la Lucha,in support of immigrants in ICE detention centers,1,protest,,,,,1,1,https://www.chron.com/houston/article/Peaceful-protest-planned-for-this-Saturday-in-15343849.php?cmpid=hpctp,,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,Huntington Beach Police Department,,CA,US,2020-06-20,about 50,50,,50,,,general protestors,pro-police,0,rally,0,0,0,0,1,1,https://www.ocregister.com/2020/06/20/patriots-for-police-rally-at-huntington-beach-pier-demonstrations/,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,Indiana Statehouse,,IN,US,2020-06-20,,,,,,,Republicans,against COVID lockdown,2,protest,0,0,0,0,1,1,https://www.indystar.com/picture-gallery/news/local/indianapolis/2020/06/20/protest-eric-holcomb-coronavirus-counter/3230652001/,,,,,,,,,,,,,,,,,,,,,,
Jensen Beach,from the Lazyboy Store to the Treasure Cost Mall,,FL,US,2020-06-20,,,,,,,Blue Knights motorcycle group,in support of police,0,parade; demonstration,0,0,0,0,1,1,https://www.wptv.com/news/region-martin-county/jensen-beach/back-the-blue-demonstration-held-in-jensen-beach,,,,,,,,,,,,,,,,,,,,,,
Kansas City,across the street from the Independence Police Department,,MO,US,2020-06-20,about 40,40,,40,,,general protestors,supporting law enforcement,0,rally,0,0,0,0,1,1,https://www.kshb.com/news/local-news/independence-rally-offers-support-to-law-enforcement,,,,0,,,,,,,,,,,,,,,,,,
Kaysville,city pakr,,UT,US,2020-06-20,,,,,,,general protestors,in support of police,0,rally,0,0,0,0,1,1,https://www.sltrib.com/news/politics/2020/06/30/group-protesting-covid/,,,,0,,,,,,,,,,,,,,,,,,
Kennewick,in front of the Kennewick Police Department,,WA,US,2020-06-20,about 100,100,,100,,,Back the Blue,in support of police,2,counter-protest,0,0,0,0,1,1,https://www.tri-cityherald.com/news/local/article243684322.html,,,,0,,,,,,,,,,,,,,,,,,
Longs,"Horry County Police Department, the Horry County Sheriff’s Office and the North Myrtle Beach Department of Public Safety",Horry,SC,US,2020-06-20,,,,,,,"""Walk in My Shoes""",law enforcement reform,0,rally,0,0,0,0,1,1,https://www.wistv.com/2020/06/21/walk-my-shoes-rally-held-longs-wanting-spark-conversations-with-law-enforcement/,,,,0,,,,,,,,,,,,,,,,,,
Los Angeles,Hollywood Boulevard and Vine Street to Donald Trump's start on Hollywood Walk of Fame,,CA,US,2020-06-20,,,,,,,Refuse Fascism,against Trump and Pence,1,march; rally,0,0,0,0,1,1,https://losangeles.cbslocal.com/2020/06/20/refuse-fascism-protest-anti-trump-los-angeles/,,,covered Trump's Walk of Fame star with stickers (but not tallied as property damage),0,,,,,,,,,,,,,,,,,,
Manitou Springs,Manitou Incline,,CO,US,2020-06-20,more than 100,100,,100,,,hikers,against the closure of the Manitou Incline due to Covid,0,protest; hike,,,,,,,https://gazette.com/news/manitou-incline-protest-scheduled-saturday-morning/article_af11aa5a-b19c-11ea-b0c7-eb73d3f6de8a.html,https://gazette.com/news/hikers-climb-manitou-incline-in-protest-of-coronavirus-closure/article_8d50f478-b306-11ea-bbd6-bbcc558a307f.html,https://gazette.com/news/manitou-incline-protest-aims-to-separate-politics-from-closure/article_af11aa5a-b19c-11ea-b0c7-eb73d3f6de8a.html,,,,,,,,,,,,,,,,,,,,
Milwaukee,Milwaukee Police Department ,,WI,US,2020-06-20,count video,16,,16,,,pastors,in support of police,0,demonstration,0,0,0,0,1,1,https://www.fox6now.com/news/we-want-peace-pastors-organize-prayer-demonstration-to-support-milwaukee-police,,,,0,,,,,,,,,,,,,,,,,,
Online,,,online,US,2020-06-20,,,,,,,Poor People's Campaign,in support of poor people; poverty awareness,0,virtual march,,,,,1,1,https://www.instagram.com/p/CBwS3fkh4W5/,https://www.clickorlando.com/news/politics/2020/06/18/poor-peoples-campaign-eyes-virtual-march-in-poverty-fight/,,,,,,,,,,,,,,,,,,,,,
Online,,,online,US,2020-06-20,,,,,,,ACLU,encouraging South Dakotans to vote,0,virtual rally,,,,,1,1,https://www.dakotanewsnow.com/content/news/ACLU-to-hold-virtual-campaign-rally-to-encourage-South-Dakotans-to-vote-571340721.html,,,,,,,,,,,,,,,,,,,,,,
Oxford,outside of Prime Fitness,,MA,US,2020-06-20,dozens;  hundreds,24,,200,,,General protestors,against state shutting down a gym because of Covid,0,protest,0,0,0,0,1,1,https://whdh.com/news/dozens-protest-town-of-oxford-shutting-gym-after-owner-opened-against-state-restrictions/,https://www.telegram.com/news/20200620/hundreds-rally-in-support-of-closed-oxford-gymm,https://boston.cbslocal.com/2020/06/20/david-blondin-oxford-gym-closed-support-reopening-massachusetts-rally/,,0,,,,,,,,,,,,,,,,,,
Palm City,corner of U.S. 1 and Jensen Beach Boulevard,,FL,US,2020-06-20,more than 50,50,,50,,,Blue Lives Matter,in support of police,0,rally,0,0,0,0,1,1,https://www.tcpalm.com/story/news/local/martin-county/2020/06/20/first-two-back-blue-events-happened-martin-county-saturday/3231038001/,https://www.tcpalm.com/story/news/local/martin-county/2020/06/20/first-two-back-blue-events-happened-martin-county-saturday/3231038001/,,,0,,,,,,,,,,,,,,,,,,
Peoria,Sheridan Road in front of the Peoria City/County Health Department,,IL,US,2020-06-20,about three dozen,36,,36,,,general protestors; business owners,supporting the re-opening and ease COVID-19 operating restrictions,0,rally,0,0,0,0,1,1,https://www.pjstar.com/photogallery/IP/20200620/PHOTOGALLERY/620009999/PH/1,,,,,,,,,,,,,,,,,,,,,,
Prineville,outside the Crook County Courthouse on Third Street,Crook,NM,US,2020-06-20,hundreds,200,,200,,,general protestors,counter protest of BLM,2,protest,0,0,0,0,1,1,https://www.bendbulletin.com/localstate/protesters-counterprotesters-rally-again-in-prineville/article_d51218b6-b0e3-11ea-bafb-37171a3b772c.html,,,,0,,,,,,,,,,,,,,,,,,
Quincy,Wollaston Beach,Norfolk,MA,US,2020-06-20,more than 100,100,,100,,,MA4Trump,Blue Lives Matter,2,rally,0,0,0,0,1,1,https://www.bostonglobe.com/2020/06/20/metro/all-lives-matter-black-lives-need-matter-well/,https://www.patriotledger.com/news/20200620/south-shore-residents-show-support-for-police-during-wollaston-beach-rally,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,State Street side of City & County Building,Salt Lake,UT,US,2020-06-20,roughly 1000 to 2000,1000,,2000,,,general protesters,against defunding police; in support of police officers,2,rally,0,0,0,0,1,1,https://www.abc4.com/news/top-stories/defund-the-police-protest-blue-rally-draw-more-than-a-thousand/,,,,,,,,,,,,,,,,,,,,,,
San Quentin,San Quentin State Prison,,,US,2020-06-20,,,,,,,general protestors,release prisoners due to Covid-19,1,car caravan,,,,,1,1,https://sf.funcheap.com/san-quentin-car-caravan-justice-capitalism/,,,,,,,,,,,,,,,,,,,,,,
Santa Clarita,intersection of Newhall Ranch Road and McBean Parkway,,CA,US,2020-06-20,,,,,,,Registered Nurses; fellow staff members,nurses laid off due to budget cuts,0,rally,0,0,0,0,1,1,https://signalscv.com/2020/06/henry-mayo-nurses-hold-rally-in-opposition-to-staff-layoffs-having-to-reuse-ppe/,,,,0,,,,,,,,,,,,,,,,,,
Santa Clarita,Heritage Park ,Los Angeles,CA,US,2020-06-20,,,,,,,Henry Mayo Newhall Hospitla nurses,against lack of PPE and recent staff layoffs,0,protest,,,,,1,1,https://signalscv.com/2020/06/henry-mayo-nurses-to-hold-rally-over-ppe-recent-staff-layoffs/,,,,,,,,,,,,,,,,,,,,,,
South Point,Boat dock at Veterans Park on the corner of Ferry and Second streets,,OH,US,2020-06-20,,,,,,,food truck vendors,in support of food truck vendors,0,rally,0,0,0,0,1,1,https://www.irontontribune.com/2020/06/22/gaskin-south-point-food-truck-rally-a-success/,,,,,,,,,,,,,,,,,,,,,,
Spring Township,overpass over Route 222,,PA,US,2020-06-20,about 75,75,,75,,,Berks County Patriots,supporting law enforcement,0,rally,0,0,0,0,1,1,https://www.newsbreak.com/news/1587934895222/berks-patriots-organize-overpass-rally-to-support-law-enforcement,https://www.pottsmerc.com/news/berks-patriots-organize-overpass-rally-to-support-law-enforcement/article_4292076b-c9be-5fe0-9078-3f1ecf14310b.html,,,0,,,,,,,,,,,,,,,,,,
Topeka,near near S.E. 12th and Washington to Topeka’s Evergy Plaza near S.W. 7th and S. Kansas Avenue,,KS,US,2020-06-20,about 80,80,,80,,,general marchers,in unity and love; some supported Black Lives Matter; some supported agree to disagree,0,march,0,0,0,0,1,1,https://www.cjonline.com/news/20200620/capfed-best-news-topeka-prayer-walk-focuses-on-creating-unity,,,,0,,,,,,,,,,,,,,,,,,
Tulsa,inside BOK Center,Tulsa,OK,US,2020-06-20,10000 or so; about half of arena that holds 19000; just under 6200,6200,,10000,,,Trump campaign,pro-Trump,2,rally,2,0,0,0,1,1,https://www.washingtonpost.com/politics/at-a-time-of-national-crisis-and-division-trump-chooses-to-prepare-for-a-fight/2020/06/20/5ebf3306-b296-11ea-856d-5054296735e5_story.html,https://www.washingtonpost.com/politics/hot-words-but-no-violence-as-trump-rallies-in-tulsa/2020/06/20/82bdd10c-b30b-11ea-8f56-63f38c990077_story.html,https://twitter.com/nycjim/status/1274801519746056196,https://www.bostonglobe.com/2020/06/21/nation/trump-was-joking-when-he-complained-about-covid-19-testing-white-house-adviser-says/?s_campaign=bdc:globewell:trending&s_campaign=bdc:globewell:trending,0,,,,,,,,,,,,,,,,,,
Tulsa,near BOK Center,Tulsa,OK,US,2020-06-20,,,,,,,general protestors,pro-Trump,2,protest,see above,0,0,0,0,1,https://www.washingtonpost.com/politics/hot-words-but-no-violence-as-trump-rallies-in-tulsa/2020/06/20/82bdd10c-b30b-11ea-8f56-63f38c990077_story.html,,,,0,,,,,,,,,,,,,,,,,,
Tulsa,near BOK Center,Tulsa,OK,US,2020-06-20,,,,,,,general protestors,anti-Trump,1,protest,see above,0,0,0,0,1,https://www.washingtonpost.com/politics/hot-words-but-no-violence-as-trump-rallies-in-tulsa/2020/06/20/82bdd10c-b30b-11ea-8f56-63f38c990077_story.html,https://tulsaworld.com/news/hornets-silencing-hate-booker-t-washington-alumni-to-host-unity-rally/article_43f8d54e-1df7-5e83-a76f-5962a90b66bc.html,,,0,,,,,,,,,,,,,,,,,,
Tulsa,downtown Tulsa,,OK,US,2020-06-20,,,,,,,Trump supporters,"in support of President Trump; ""All lives matter""",2,protest,0,0,0,0,1,1,https://www.somerset-kentucky.com/news/trump-supporters-protesters-face-off-outside-oklahoma-rally/article_e1979e3a-b381-11ea-84ae-57683e99529d.html,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Veterans Park,Tulsa,OK,US,2020-06-20,several hundred,300,,300,,,general protestors,anti-Trump; pro-Black Lives Matter; against hate,1,protest,see above,0,0,0,0,1,https://www.tulsaworld.com/news/local/the-world-is-watching-tulsa-peaceful-protest-at-citys-veterans-park-calls-for-change-in/article_d6b9d390-dd52-5948-a9be-5d48a8150e80.html#8,https://www.facebook.com/events/858531907968248/?active_tab=about,http://www.oudaily.com/coronavirus/ou-alumni-to-attend-juneteenth-celebration-during-trump-rally-in-tulsa/article_d52f5daa-acdc-11ea-97b7-db1ec7d245a4.html,https://www.kvue.com/article/news/nation-world/tulsa-trump-protests-tik-tok/507-a9ff770b-f6ae-4774-aedb-7607ee5b33bb,0,,,,,,,,,,,,,,,,,,
Tulsa,Center of the Universe,Tulsa,OK,US,2020-06-20,FB: 219,219,,219,,,general protestors,anti-Trump,1,protest,,,,,1,1,https://www.facebook.com/events/257117718955924/,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Outside airport,,OK,US,2020-06-20,,,,,,,Trump supporters,pro-Trumo,2,rally,0,0,0,0,0,1,https://tulsaworld.com/business/no-noticeable-spike-in-air-travel-at-tulsa-airport-for-trumps-rally/article_e1af2aac-8312-5395-980e-235d99f89ee4.html,,,,,,,,,,,,,,,,,,,,,,
virtual ,,,,US,2020-06-20,,,,,,,general protesters,against poverty in America,0,virtual protest,,,,,1,1,https://www.tuscaloosanews.com/news/20200619/rsquovirtual-march-to-fight-poverty,,,,,,,,,,,,,,,,,,,,,,
Walpole,from Walpole High School to the police department,,MA,US,2020-06-20,hundreds,200,,200,,,police supporters,support police funding; support police officers,0,march,0,0,0,0,1,1,https://www.wcvb.com/article/hundreds-participate-in-march-through-walpole-showing-support-for-police/32922894,,,,0,,,,,,,,,,,,,,,,,,
Washington,,DC,DC,US,2020-06-20,,,,,,,Poor People's Campaign,in support of poor people; poverty awareness,0,march,,,,,1,1,https://www.wkyt.com/2020/06/18/poor-peoples-campaign-eyes-virtual-march-in-poverty-fight/,,,,,,,,,,,,,,,,,,,,,,
Wausau,Yawkey Park; across from City Hall,,WI,US,2020-06-20,,,,,,,members of Wausau Transfam Alliance along with Art & Soul Innovation,support trans rights,0,rally,0,0,0,0,1,1,https://waow.com/2020/06/20/a-rally-in-wausau-for-transgender-rights/,https://www.wausaudailyherald.com/story/news/2020/06/18/rally-trans-rights-planned-saturday-wausau/3213505001/,,,,,,,,,,,,,,,,,,,,,
Westborough,Westborough Police Station on 45 West Main St.,,MA,US,2020-06-20,over 20,20,,20,,,general protestors,supporting law enforcement,0,rally,0,0,0,0,1,1,https://www.metrowestdailynews.com/news/20200620/boost-for-blue-westborough-resident-organizes-pro-police-rally,,,,0,,,,,,,,,,,,,,,,,,
Worthington,High Street and SR 161,,OH,US,2020-06-20,,,,,,,general protesters,antiracism ,1,protest,0,0,0,0,1,1,https://www.nbc4i.com/news/local-news/worthington-police-call-for-information-on-weekend-protest-confrontation/,,,,,,,,,,,,,,,,,,,,,,
Asheville,Roger McGuire Green,Buncombe,NC,US,2020-06-21,,,,,,,general protesters,against Black Lives Matter protest,0,counter-protest,3,,,,1,1,https://www.citizen-times.com/story/news/local/2020/07/07/asheville-black-lives-matter-counterprotesters-charged-carrying-guns/5390558002/,,,,,,,,,,,,,,,,,,,,,,
Bath,Bath Iron Works,Sagadahoc,ME,US,2020-06-21,some 4300,4300,,4300,,,International Association of Machinists,seek pay raise and greater benefits,0,strike,0,0,0,0,1,1,https://www.wsws.org/en/articles/2020/06/26/bath-j26.html,,,End: Indeterminate,,,,,,,,,,,,,,,,,,,
Compton,intersection of Figueroa Street and West Redondo Beach Boulevard to Compton sheriff's station,,CA,US,2020-06-21,more than 600,600,,600,,,general protestors,opposes police killing of Andres Guardado,0,protest; march,unknown,0,0,0,1,1,https://www.dailynews.com/2020/06/21/demonstrators-again-gather-to-protest-sheriff-deputys-fatal-shooting-of-andres-guardado/,,,non-lethal rounds fired into crowd (tear gas or pepper spray),1,,,,,,,,,,,,,,,,,,
Gardena,"Redondo Beach Blvd, Gardena, to Sheriff's office in Compton",Los Angeles,CA,US,2020-06-21,more than 100,100,,100,,,general protestors,opposes police killing of Andres Guardado,0,protest; march,,,,,1,1,https://twitter.com/josie_huang/status/1274811097564889088,https://twitter.com/StruggleLaLucha/status/1274855319819206659,,,,,,,,,,,,,,,,,,,,,
Hilo,,,HI,US,2020-06-21,dozens,24,,24,,,general protesters,rally for missing keiki,0,rally,0,0,0,0,1,1,https://www.hawaiitribune-herald.com/2020/06/22/hawaii-news/dozens-turn-out-for-missing-keiki-rally/,,,,,,,,,,,,,,,,,,,,,,
Jensen Beach,near Treasure Coast Square Mall,,FL,US,2020-06-21,,,,,,,general protestors,"""Back the Blue"" rally",0,rally; march,0,0,0,0,1,1,https://www.wptv.com/news/region-martin-county/palm-city/back-the-blue-rally-happening-sunday-in-palm-city,,,,,,,,,,,,,,,,,,,,,,
Palm City,Jock Leighton Park (Palm City Skate Park) to Veterans Memorial Bridge,,FL,US,2020-06-21,hundreds,200,,200,,,Fraternal Order of Police,"""Back the Blue"" rally",0,rally; march,0,0,0,0,1,1,https://www.tcpalm.com/story/news/local/martin-county/2020/06/21/back-blue-rally-held-palm-city-sunday/3201889001/,https://www.tcpalm.com/picture-gallery/news/local/martin-county/2020/06/21/palm-city-back-blue-rally-marches-over-veterans-memorial-bridge/3233026001/,https://www.wptv.com/news/region-martin-county/palm-city/back-the-blue-rally-happening-sunday-in-palm-city,,0,,,,,,,,,,,,,,,,,,
Talladega,,,AL,US,2020-06-21,at least 40,40,,40,,,"NASCAR drivers, NASCAR fans",support for Bubba Wallace,0,rally,0,0,0,0,1,1,https://www.live5news.com/2020/06/21/noose-found-stall-bubba-wallace-alabama-nascar-race/,https://apnews.com/af5f2437b470984c26d8acb6b66ac807,https://www.pressherald.com/2020/06/22/fbi-investigating-noose-left-in-garage-of-nascar-driver-bubba-wallace/#goog_rewarded,,,,,,,,,,,,,,,,,,,,
Caldwell,College of Idaho,,ID,US,2020-06-22,,,,,,,student protesters,Pride march,0,march,0,0,0,0,1,1,https://www.idahopress.com/news/local/2cscoop/homophobic-vandalism-found-at-college-of-idaho-day-after-pride-march/article_33680152-d712-5c40-b36f-a8f7c6097824.html,,,,,,,,,,,,,,,,,,,,,,
Iowa City ,North Dubuque Street,Johnson,IA,US,2020-06-22,,,,,,,The Iowa Freedom Riders,for decriminalization of cannabis; reduction of probation lengths for ex-convicts; end juvenile detention and reallocate resources into education and public mental health resources,0,protest; march,0,0,0,0,1,1,https://dailyiowan.com/2020/06/23/protesters-march-in-solidarity-across-iowa-iowa-freedom-riders-visit-kim-reynolds-hotel-in-washington-iowa/,,,,,,,,,,,,,,,,,,,,,,
Loudoun County,,,VA,US,2020-06-22,several parents,10,,10,,,Loudoun County parents and families,protesting Loudoun County Public Schools' reopening plan; in support of in person classes,0,protest,0,0,0,0,1,1,https://www.fox5dc.com/news/loudoun-county-school-district-parents-protest-reopening-plans,,,,,,,,,,,,,,,,,,,,,,
New York,Queens; Juniper Valley Park on 80th Street to Juniper Boulevard North through Middle Village,Queens,NY,US,2020-06-22,hundreds,200,,200,,,general protesters,pro-NYPD,0,protest,0,0,0,0,0,1,https://qns.com/story/2020/06/23/middle-village-protesters-stand-behind-the-blue-shield/,,,,0,,,,,,,,,,,,,,,,,,
Oakland,Oakland airport and nearby hotels,,CA,US,2020-06-22,dozens of vehicles,,,,,,hotel and airport workers and their supporters,right to return to work or be rehired after being laid off due to COVID-19 pandemic,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2020/06/22/oakland-protestors-hold-caravan-to-rally-for-workers-rights/,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,site of former PES Refinery in South Philadelphia,,PA,US,2020-06-22,,,,,,,Philly Thrive; general protesters,"calling for the new owner of the refinery to combat ""toxic polluting and environmental racism""",0,march; protest,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2020/06/22/group-protesting-environmental-racism-marches-to-site-of-former-pes-refinery-on-anniversary-of-explosion/,,,,,,,,,,,,,,,,,,,,,,
Port Jefferson Station,,,NY,US,2020-06-22,hundreds,200,,200,,,pro-police protesters; current and former law enforcement officers,support for police and law enforcement,0,rally,0,0,0,0,1,1,http://longisland.news12.com/story/42276117/we-feel-the-police-have-been-vilified-propolice-rally-held-in-port-jeff-station,,,,,,,,,,,,,,,,,,,,,,
Rodchester,outside the Hall of Justice,,NY,US,2020-06-22,about 10 people,10,,10,,,general protesters; tenant union,protesting housing courts reopening eviction cases,0,protest,0,0,0,0,1,1,https://www.wxxinews.org/post/tenant-union-rallies-outside-city-court-eviction-cases-resume,,,,,,,,,,,,,,,,,,,,,,
Seaside Heights,Casino Pier,,NJ,US,2020-06-22,1,1,,1,,,christopher angulo (individual) ,unfair charges from local PD,0,protest,1,,,,1,1,https://www.democratandchronicle.com/story/news/2020/06/22/protester-climbs-top-casino-pier-ride/3234354001/,,,,,,,,,,,,,,,,,,,,,,
Selbyville,,,DE,US,2020-06-22,50 vehicle caravan,50,,50,,,United Food & Commercial Workers Local 27,"employee rights, safety, and health",0,protest,0,0,0,0,1,1,https://www.capegazette.com/article/union-rallies-support-selbyville-mountaire-workers/204002,,,,,,,,,,,,,,,,,,,,,,
Springfield,plaza in front of the Springfield Public Library,,OR,US,2020-06-22,,,,,,,police supporters,supporting law enforcement,0,protest,1,2,0,0,1,1,https://www.eugeneweekly.com/2020/06/25/a-rainbow-during-the-storm/,,,,,,,,,,,,,,,,,,,,,,
Chicago,White Castle parking lot,,IL,US,2020-06-23,count pic; 8,8,,8,,,general ralliers,promoting horseback riding among Chicago's Black neighborhoods,0,protest,0,0,0,0,1,1,https://www.chicagotribune.com/lifestyles/ct-life-protest-profile-dreadhead-cowboy-06232020-20200630-43dvo6x7xneipa5l4wds2y62ly-story.html,,,,0,,,,,,,,,,,,,,,,,,
Detriot,,,MI,US,2020-06-23,car caravan,,,,,,American Postal Workers Union,funding and support for the US postal Service; #SaveThePostOffice,0,rally,0,0,0,0,0,0,https://www.freep.com/story/news/local/michigan/2020/06/22/michigan-postal-workers-rally/3234688001/,https://www.alamy.com/detroit-michigan-usa-23rd-june-2020-a-car-caravan-at-detroits-main-post-office-to-save-americas-postal-service-the-event-was-part-of-a-nationwide-campaign-by-the-american-postal-workers-union-the-us-postal-service-is-facing-a-financial-crisis-because-of-the-coronavirus-pandemic-congresswomen-rashida-tlaib-and-brenda-lawrence-spoke-during-the-caravan-credit-jim-westalamy-live-news-image363931592.html,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,"Perry Elementary School; Garfield Avenue, Beach Boulevard, Yorktown Avenue",,CA,US,2020-06-23,about 100,100,,100,,,parents and children,In protest of the closure of Perry Elementary School and lack of communication in English and Spanish; Frustration that the school was closed due to coronavirus,0,protest,0,0,0,0,1,1,https://www.latimes.com/socal/daily-pilot/news/story/2020-06-23/parents-protest-perry-elementary-closure-as-huntington-beach-city-school-district-superintendent-resigns,,,,,,,,,,,,,,,,,,,,,,
Laguna Beach,Laguna Beach City Hall,,CA,US,2020-06-23,at least 50,50,,50,,,mountain bikers; members of the Laguna Beach mountain biking community,"in protest of OC Parks' decommissioning of a local trail; ""protest and enhance off-road bicycling in the area""",0,protest,0,0,0,0,1,1,https://www.lagunabeachindy.com/mountain-bikers-protest-trail-closure/,,,,,,,,,,,,,,,,,,,,,,
Las Lomas,Las Lomas HS,,CA,US,2020-06-23,,,,,,,current and former students,resignation of administator; anti sexual harassment at school; antiracism at school,1,rally,,,,,1,1,https://www.instagram.com/p/CBxPGYKBtim/,,,,,,,,,,,,,,,,,,,,,,
Long Beach,Recreation Park to Councilwoman Suzie Price's home,,CA,US,2020-06-23,more than 80,80,,80,,,general protesters,support for policies that would assist renters or resignation of Councilwoman Suzie price,0,protest,0,0,0,0,1,1,https://www.presstelegram.com/2020/06/24/while-renters-protest-repayment-plan-long-beach-proposes-more-assistance-to-tenants/,,,,,,,,,,,,,,,,,,,,,,
Louisville,,,KY,US,2020-06-23,840,840,,840,,,supporters of Charles Booker,celebrating the end of Election Day,1,rally,0,0,0,0,1,1,https://www.lex18.com/news/covering-kentucky/booker-rallies-in-front-of-hundreds,,,,,,,,,,,,,,,,,,,,,,
Norco,Corona-Norco Teachers Association office; Corona-Norco Unified School District office,,CA,US,2020-06-23,About 100,100,,100,,,teachers; parents,expressing displeasure with the school board's decision to return to campus in August,0,drive-by demonstration,0,0,0,0,1,1,https://www.dailybulletin.com/2020/06/23/corona-norco-teachers-protest-early-return-to-campus/,,,,,,,,,,,,,,,,,,,,,,
Parkersburg,outside the Wood County Schools Central office,,WV,US,2020-06-23,more than 30,30,,30,,,parents,Board of Education should fire not suspend a teacher accused of sexual misconduct,0,protest,0,0,0,0,1,1,https://www.newsandsentinel.com/news/local-news/2020/06/parents-protest-demand-action-on-suspended-wood-county-teacher/,,,,0,,,,,,,,,,,,,,,,,,
Pewaukee,,,WI,US,2020-06-23,,,,,,,Trump supporters,Trump-Pence rally,2,rally,0,0,0,0,1,1,https://www.cbs58.com/news/safety-precautions-expected-for-pence-rally-in-pewaukee,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Dream City Church,,AZ,US,2020-06-23,"about 3,000",3000,,3000,,,Trump supporters,Pro-trump,2,rally,,,,,1,1,https://ktar.com/story/3328603/gov-ducey-wears-arizona-flag-mask-during-trump-rally-in-phoenix/,https://www.fox10phoenix.com/news/president-trump-to-attend-students-for-trump-rally-at-phoenix-church-on-june-23,,,,,,,,,,,,,,,,,,,,,
Phoenix,Dream City Church,,AZ,US,2020-06-23,several hundred,200,,900,,,Anti-trump,Anti-trump rally,1,counter-protest,,,,,1,1,https://ktar.com/story/3328603/gov-ducey-wears-arizona-flag-mask-during-trump-rally-in-phoenix/,,,,,,,,,,,,,,,,,,,,,,
Riverside,"UC Riverside, Chancellor Kim Wilcox's home on campus",,CA,US,2020-06-23,50 cars or more,50,,50,,,UC Riverside employees,"Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally; car caravan,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Corona-Norco school district headquarters,,CA,US,2020-06-23,about 100,100,,100,,,teachers,against early return to campus,0,protest; drive by,0,0,0,0,1,1,https://www.newsbreak.com/california/corona/news/1589264179819/corona-norco-teachers-protest-early-return-to-campus,https://sanbernardino.today/ca/san-bernardino-news/corona-norco-teachers-protest-early-return-campus,,,0,,,,,,,,,,,,,,,,,,
St. Louis,Clayton Road; Special School District office,,MO,US,2020-06-23,about 150,150,,150,,,Special District National Education Association,Protesting for raises in teacher pay and for the school district to address racial disparities,0,protest,0,0,0,0,1,1,https://www.stltoday.com/news/local/education/special-school-district-teachers-protest-board-meeting-ask-for-district-to-spend-budget-surplus/article_599ee624-579c-5755-906b-16e66d4258c5.html,,,,,,,,,,,,,,,,,,,,,,
Astoria,Exchange Street,,OR,US,2020-06-23,several,3,,3,,,Columbia Memorial Hospital workers,protesting layoffs,0,rally,0,0,0,0,1,1,https://www.dailyastorian.com/coronavirus/columbia-memorial-hospital-workers-rally-for-more-support/article_36dde452-b720-11ea-98d3-7fd56793a7b8.html,,,,0,,,,,,,,,,,,,,,,,,
Grand Rapids,Michigan State Capitol in Lansing,,MI,US,2020-06-24,,,,,,,union stagehands and gig workers,call for extension of unemployment benefits,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2020/6/22/michigan-stagehands-rally-june-24-unemployment-extension,,,,,,,,,,,,,,,,,,,,,,
Grass Valley,Sutton Way and Brunswick Road intersection,,CA,US,2020-06-24,about a dozen,12,,12,,,general protestors,supporting law enforcement; Back the Blue,0,rally,0,0,0,0,1,1,https://www.theunion.com/news/back-the-blue-rallies-show-law-enforcement-support/,,,,0,,,,,,,,,,,,,,,,,,
Los Angeles,Ronald Reagan UCLA Medical Center,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,https://dailybruin.com/2020/06/24/union-holds-protests-at-uc-medical-centers-in-response-to-recent-layoff-notices,,,,,,,,,,,,,,,,,,,,,
